Date,Open,High,Low,Close,Volume,Adj Close
2017-01-26,200.588,200.588,200.588,200.588,000,200.588
2017-01-25,205.964,205.964,205.964,205.964,000,205.964
2017-01-24,209.48599,209.48599,209.48599,209.48599,000,209.48599
2017-01-23,209.11,209.11,209.11,209.11,000,209.11
2017-01-20,202.627,202.627,202.627,202.627,000,202.627
2017-01-19,200.464,200.464,200.464,200.464,000,200.464
2017-01-18,201.661,201.661,201.661,201.661,000,201.661
2017-01-17,204.784,204.784,204.784,204.784,000,204.784
2017-01-16,0.052,0.052,0.052,0.052,000,0.052
2017-01-13,199.29401,199.29401,199.29401,199.29401,000,199.29401
2017-01-12,198.47701,198.47701,198.47701,198.47701,000,198.47701
2017-01-11,197.89999,197.89999,197.89999,197.89999,000,197.89999
2017-01-10,198.342,198.342,198.342,198.342,000,198.342
2017-01-09,197.547,197.547,197.547,197.547,000,197.547
2017-01-06,196.561,196.561,196.561,196.561,000,196.561
2017-01-05,204.289,204.289,204.289,204.289,000,204.289
2017-01-04,192.28101,192.28101,192.28101,192.28101,000,192.28101
2017-01-03,189.91,189.91,189.91,189.91,000,189.91
2017-01-02,0.052,0.052,0.052,0.052,000,0.052
2016-12-30,182.314,182.314,182.314,182.314,000,182.314
2016-12-29,189.45799,189.45799,189.45799,189.45799,000,189.45799
2016-12-28,177.22701,177.22701,177.22701,177.22701,000,177.22701
2016-12-27,173.14,173.14,173.14,173.14,000,173.14
2016-12-26,0.052,0.052,0.052,0.052,000,0.052
2016-12-23,168.96201,168.96201,168.96201,168.96201,000,168.96201
2016-12-22,165.16901,165.16901,165.16901,165.16901,000,165.16901
2016-12-21,165.92101,165.92101,165.92101,165.92101,000,165.92101
2016-12-20,166.627,166.627,166.627,166.627,000,166.627
2016-12-19,165.92999,165.92999,165.92999,165.92999,000,165.92999
2016-12-16,165.319,165.319,165.319,165.319,000,165.319
2016-12-15,163.49001,163.49001,163.49001,163.49001,000,163.49001
2016-12-14,170.72099,170.72099,170.72099,170.72099,000,170.72099
2016-12-13,181.955,181.955,181.955,181.955,000,181.955
2016-12-12,178.459,178.459,178.459,178.459,000,178.459
2016-12-09,176.995,176.995,176.995,176.995,000,176.995
2016-12-08,184.57001,184.57001,184.57001,184.57001,000,184.57001
2016-12-07,184.04401,184.04401,184.04401,184.04401,000,184.04401
2016-12-06,181.67999,181.67999,181.67999,181.67999,000,181.67999
2016-12-05,182.776,182.776,182.776,182.776,000,182.776
2016-12-02,183.38901,183.38901,183.38901,183.38901,000,183.38901
2016-12-01,177.25999,177.25999,177.25999,177.25999,000,177.25999
2016-11-30,178.08299,178.08299,178.08299,178.08299,000,178.08299
2016-11-29,182.00999,182.00999,182.00999,182.00999,000,182.00999
2016-11-28,183.90601,183.90601,183.90601,183.90601,000,183.90601
2016-11-25,175.76199,175.76199,175.76199,175.76199,000,175.76199
2016-11-24,0.052,0.052,0.052,0.052,000,0.052
2016-11-23,174.65601,174.65601,174.65601,174.65601,000,174.65601
2016-11-22,184.16701,184.16701,184.16701,184.16701,000,184.16701
2016-11-21,184.412,184.412,184.412,184.412,000,184.412
2016-11-18,182.09801,182.09801,182.09801,182.09801,000,182.09801
2016-11-17,183.25999,183.25999,183.25999,183.25999,000,183.25999
2016-11-16,187.799,187.799,187.799,187.799,000,187.799
2016-11-15,190.748,190.748,190.748,190.748,000,190.748
2016-11-14,182.57401,182.57401,182.57401,182.57401,000,182.57401
2016-11-11,180.19299,180.19299,180.19299,180.19299,000,180.19299
2016-11-10,195.939,195.939,195.939,195.939,000,195.939
2016-11-09,212.48199,212.48199,212.48199,212.48199,000,212.48199
2016-11-08,207.241,207.241,207.241,207.241,000,207.241
2016-11-07,208.61,208.61,208.61,208.61,000,208.61
2016-11-04,217.388,217.388,217.388,217.388,000,217.388
2016-11-03,218.97501,218.97501,218.97501,218.97501,000,218.97501
2016-11-02,215.123,215.123,215.123,215.123,000,215.123
2016-11-01,219.202,219.202,219.202,219.202,000,219.202
2016-10-31,212.27499,212.27499,212.27499,212.27499,000,212.27499
2016-10-28,207.036,207.036,207.036,207.036,000,207.036
2016-10-27,206.269,206.269,206.269,206.269,000,206.269
2016-10-26,210.688,210.688,210.688,210.688,000,210.688
2016-10-25,215.94701,215.94701,215.94701,215.94701,000,215.94701
2016-10-24,210.65601,210.65601,210.65601,210.65601,000,210.65601
2016-10-21,215.957,215.957,215.957,215.957,000,215.957
2016-10-20,216.806,216.806,216.806,216.806,000,216.806
2016-10-19,217.08501,217.08501,217.08501,217.08501,000,217.08501
2016-10-18,211.16901,211.16901,211.16901,211.16901,000,211.16901
2016-10-17,202.84801,202.84801,202.84801,202.84801,000,202.84801
2016-10-14,199.508,199.508,199.508,199.508,000,199.508
2016-10-13,204.202,204.202,204.202,204.202,000,204.202
2016-10-12,200.662,200.662,200.662,200.662,000,200.662
2016-10-11,196.271,196.271,196.271,196.271,000,196.271
2016-10-10,200.319,200.319,200.319,200.319,000,200.319
2016-10-07,199.257,199.257,199.257,199.257,000,199.257
2016-10-06,199.314,199.314,199.314,199.314,000,199.314
2016-10-05,205.27699,205.27699,205.27699,205.27699,000,205.27699
2016-10-04,203.58501,203.58501,203.58501,203.58501,000,203.58501
2016-10-03,226.52299,226.52299,226.52299,226.52299,000,226.52299
2016-09-30,231.13901,231.13901,231.13901,231.13901,000,231.13901
2016-09-29,233.871,233.871,233.871,233.871,000,233.871
2016-09-28,235.009,235.009,235.009,235.009,000,235.009
2016-09-27,229.299,229.299,229.299,229.299,000,229.299
2016-09-26,232.69901,232.69901,232.69901,232.69901,000,232.69901
